Year,Word,Count,Count_unique
1965,dos,1,1
1965,one,45,23
1965,rough,1,1
1965,told,13,6
1965,sham,2,1
1965,domingo,1,1
1965,bully,17,1
1965,dance,5,5
1965,dont,171,45
1965,pharaohs,1,1
1965,lyrics,1,1
1965,l,1,1
1965,thats,26,15
1965,thing,29,13
1965,l7,1,1
1965,mean,12,5
1965,jaw,1,1
1965,tres,1,1
1965,letter,2,2
1965,wooly,18,1
1965,square,2,1
1965,uno,1,1
1965,take,37,18
1965,get,51,23
1965,someone,21,13
1965,matty,3,1
1965,chance,3,3
1965,number,1,1
1965,two,23,12
1965,form,2,2
1965,miscellaneous,8,8
1965,really,21,10
1965,come,99,24
1965,samudio,1,1
1965,belseven,1,1
1965,wool,1,1
1965,lseven,1,1
1965,typed,1,1
1965,lets,15,4
1965,saw,4,3
1965,sam,2,1
1965,quatro,1,1
1965,hatty,3,1
1965,learn,8,4
1965,7,1,1
1965,horns,1,1
1965,pull,1,1
1965,big,10,7
1965,help,103,6
1965,insidewhen,1,1
1965,cant,56,25
1965,flame,1,1
1965,ive,45,21
1965,seewanna,1,1
1965,thousand,1,1
1965,snap,1,1
1965,wink,2,2
1965,burning,1,1
1965,go,95,32
1965,elsesugar,2,1
1965,nobody,10,6
1965,weaker,1,1
1965,cannot,1,1
1965,docant,1,1
1965,pie,5,1
1965,weak,3,3
1965,call,6,6
1965,hidecause,1,1
1965,see,36,23
1965,timeswhen,1,1
1965,tried,3,3
1965,theres,38,19
1965,know,135,42
1965,finger,3,3
1965,time,72,26
1965,apart,2,2
1965,heart,44,17
1965,starts,2,2
1965,nothing,9,5
1965,love,265,49
1965,man,33,17
1965,fool,2,2
1965,name,32,7
1965,strings,1,1
1965,face,9,6
1965,every,28,20
1965,honey,13,5
1965,life,26,14
1965,tied,1,1
1965,tearing,1,1
1965,myselfsugar,1,1
1965,im,114,40
1965,want,68,25
1965,anything,2,2
1965,bunch,5,1
1965,arunning,1,1
1965,ask,3,3
1965,girl,48,16
1965,behind,4,3
1965,eye,3,2
1965,choked,1,1
1965,elsein,1,1
1965,picture,1,1
1965,matter,7,6
1965,tell,60,21
1965,try,10,10
1965,sugar,3,2
1965,kissed,6,4
1965,leaving,2,2
1965,apron,1,1
1965,morning,7,4
1965,blues,9,6
1965,troubles,10,5
1965,shooooooes,1,1
1965,whoaoh,10,1
1965,home,12,6
1965,ramble,1,1
1965,miiiind,1,1
1965,yeah,77,19
1965,bind,3,1
1965,corner,2,2
1965,pains,2,1
1965,feelin,18,6
1965,away,30,22
1965,went,5,5
1965,wounds,3,1
1965,way,33,22
1965,woke,3,1
1965,shooooes,1,1
1965,walk,11,10
1965,said,35,15
1965,ease,3,2
1965,came,3,2
1965,move,7,5
1965,mind,24,13
1965,got,100,25
1965,worries,6,3
1965,show,21,4
1965,wohbring,1,1
1965,knees,8,4
1965,used,13,4
1965,kiss,24,9
1965,baby,166,30
1965,lost,12,7
1965,youre,51,23
1965,let,63,23
1965,eyes,15,12
1965,slip,2,2
1965,makes,8,7
1965,wohnow,1,1
1965,dyinyou,1,1
1965,id,37,10
1965,lovin,14,2
1965,trying,10,6
1965,never,57,25
1965,little,40,17
1965,criticize,1,1
1965,need,26,10
1965,close,6,5
1965,things,28,12
1965,something,5,4
1965,would,15,10
1965,tenderness,1,1
1965,hard,11,9
1965,gone,43,12
1965,whoa,6,3
1965,back,48,15
1965,ityou,1,1
1965,beg,1,1
1965,fingertips,1,1
1965,find,28,15
1965,cause,41,21
1965,like,70,32
1965,crying,5,3
1965,anymore,4,3
1965,starting,3,2
1965,beautifuls,1,1
1965,awaybaby,1,1
1965,everyday,2,2
1965,backbring,1,1
1965,bring,16,9
1965,welcome,1,1
1965,reach,2,2
1965,feel,35,22
1965,look,21,12
1965,lips,4,3
1965,wohbaby,1,1
1965,please,39,14
1965,understand,9,8
1965,youdont,1,1
1965,seems,3,3
1965,brighter,2,1
1965,caresso,3,1
1965,somebody,3,3
1965,surround,1,1
1965,downtown,16,2
1965,maybe,12,7
1965,lose,5,3
1965,youve,19,12
1965,sure,8,6
1965,ill,77,32
1965,sidewalk,1,1
1965,downtownjust,2,1
1965,rhythm,3,3
1965,music,13,7
1965,happy,5,4
1965,shows,1,1
1965,traffic,1,1
1965,may,7,5
1965,minute,1,1
1965,pretty,19,11
1965,around,21,16
1965,kind,4,4
1965,great,3,2
1965,needs,11,3
1965,everything,5,5
1965,place,43,9
1965,city,11,4
1965,noise,3,2
1965,always,14,10
1965,em,12,6
1965,tonight,5,4
1965,alright,7,5
1965,lonely,17,7
1965,along,8,5
1965,hand,11,6
1965,nowdowntownand,1,1
1965,making,2,2
1965,guide,2,2
1965,listen,11,8
1965,dancing,3,3
1965,youll,21,13
1965,movie,2,2
1965,neon,1,1
1965,finer,2,2
1965,problems,1,1
1965,hurry,5,3
1965,places,2,2
1965,hang,5,2
1965,bright,3,2
1965,nova,1,1
1965,waiting,22,3
1965,alone,5,5
1965,night,31,17
1965,bossa,1,1
1965,forget,8,3
1965,signs,1,1
1965,wait,6,4
1965,lights,9,3
1965,much,29,12
1965,gonna,27,18
1965,gentle,3,2
1965,linger,1,1
1965,many,16,6
1965,done,2,2
1965,today,12,7
1965,independence,1,1
1965,ooo,11,2
1965,appreciate,3,1
1965,doors,2,1
1965,needed,4,2
1965,ways,7,2
1965,anybody,1,1
1965,younger,4,1
1965,days,18,7
1965,selfassured,2,1
1965,ground,4,2
1965,changed,6,4
1965,feet,7,5
1965,insecure,1,1
1965,anybodys,3,2
1965,oh,69,20
1965,wont,14,9
1965,opened,2,1
1965,round,8,5
1965,feeling,5,3
1965,haze,1,1
1965,vanish,1,1
1965,wedding,7,3
1965,bells,1,1
1965,carterlewis,1,1
